Date,Location (according to buggy OCR)
10/17/2015,1800 CAPISTRANO AVE
10/17/2015,2100 DWIGHT WAY
10/18/2015,HASTE ST / SHATTUCK AVE
10/18/2015,2000 HASTE ST
10/18/2015,2400 WARRING ST
10/18/2015,WARRING ST / CHANNING WAY
10/18/2015,2200 BLAKE ST
10/18/2015,2500 BENVENLIE AVE
10/18/2015,2400 DWIGHT WAY '
10/18/2015,2300 PIEDMONT AVE
10/18/2015,1700 SPRUCE ST
10/18/2015,SHATTUCK AVE / CHANNING WAY
10/18/2015,1100 BANCROFT WAY
10/18/2015,1600 LA LOMA AVE
10/18/2015,1700 UNIVERSITY AVE
10/19/2015,1400 UNIVERSITY AVE
10/19/2015,1700 DERBY ST
10/19/2015,1400 SAN PABLO AVE
10/19/2015,2100 OXFORD ST
10/20/2015,2900 ELLIS ST
10/20/2015,1700 UNIVERSITY AVE
10/20/2015,MILVIA ST/ UNIVERSITY AVE
10/20/2015,1600 SPRUCE ST
10/20/2015,1600 SPRUCE ST
10/20/2015,DERBY ST/ DANA ST
10/20/2015,2100 TENTH ST
10/20/2015,2400 BROWNING ST
10/20/2015,2000 HEARST AVE
10/21/2015,2400 DWIGHT WAY
10/21/2015,2000 ADDISON ST
10/21/2015,SHATTUCK AVE / KITTREDGE ST
10/22/2015,1800 FAIRVIEW ST
10/22/2015,2700 HILLEGASS AVE
10/22/2015,2000 HEARST AVE
10/23/2015,2900 TELEGRAPH AVE
10/23/2015,TELEGRAPH AVE / DU RANT AVE
10/23/2015,2500 DU RANT AVE
10/23/2015,2400 FULTON ST
10/23/201523:23,
10/23/2015,PIEDMONT AVE / PARKER ST
10/23/2015,1000 THE ALAMEDA
10/23/2015,1200 GILMAN ST
10/23/2015,SHATTUCK AVE / WOOLSEY ST
10/24/2015,REGENT ST/ PARKER ST
10/24/2015,2000 HASTE ST
10/24/2015,2400 FULTON ST
10/24/2015,2700 CHANNING WAY
10/24/2015,2600 ASHBY AVE
10/24/2015,2500 RIDGE RD
10/24/2015,1200 HOPKINS ST
10/24/2015,2000 CHANNING WAY _
10/24/2015,REGENT ST/ STUART ST
10/24/2015,1800 ALLSTON WAY
10/24/2015,2100 KITTREDGE ST
10/24/2015,2100 SEVENTH ST
10/24/2015,1500 FAIRVIEW ST
10/24/2015,1700 TENTH ST
10/24/2015,900 INDIAN ROCK AVE
10/24/2015,0 PARNASSUS CT
10/24/2015,2000 HASTE ST
10/24/2015,1600 ACTON ST
10/24/2015,2600 VIRGINIA ST
10/25/2015,1400 WALNUT ST
10/24/2015_,2900 DWIGHT WAY
10/25/2015,2500 BENVENUE AVE
10/25/2015,2300 ELLSWORTH ST
10/25/2015,OXFORD ST/ CENTER ST
10/25/2015,3000 FULTON ST
10/25/2015,2100 GRANT ST
10/25/2015,2400 SHATI'UCK AVE
10/25/2015,2400 GRANT ST
10/25/2015,2900 REGENT ST
10/25/2015,2000 KITTREDGE ST
10/25/2015,UNIVERSITY AVE / CURTIS ST
10/25/2015,1300 UNIVERSITY AVE
10/25/2015,2500 HILLEGASS AVE
10/26/2015,2500 GRANT ST
10/26/2015,2100 BROWNING ST
10/26/2015,2500 HILLEGASS AVE
10/26/2015,1400 OREGON ST
10/26/2015,1500 BERKELEY WAY
10/26/2015,1700 UNIVERSITY AVE
10/26/2015,ROSE ST / M L KING JR WAY
10/26/2015,3200 SACRAMENTO ST
10/26/2015,1400 OREGON ST
10/26/2015,HARMON ST
10/26/2015,1500 BERKELEY WAY
10/27/2015,2400 PRINCE ST
10/27/2015,BANCROFT WAY / WARRING ST
10/27/2015,3200 ADELINE ST
10/27/2015,2500 HILLEGASS AVE
10/27/2015,2300 FULTON ST
10/28/2015,3000 TELEGRAPH AVE
10/28/2015,2100 OXFORD ST
10/28/2015,1000 UNIVERSITY AVE
10/28/2015,1900 MCGEE AVE
10/28/2015,2200 FULTON ST
10/28/2015,2900 RUSSELL ST
10/28/2015,2900 CHANNING WAY
10/29/2015,2300 TENTH ST
10/29/2015,2400 FULTON ST
10/29/2015,1500 BERKELEY WAY
10/29/2015,2700 HASTE ST
10/30/2015,BERKELEY WAY / SHATTUCK AVE
10/30/2015,2000 HEARST AVE
10/30/2015,1600 DWIGHT WAY
10/30/2015,DERBY ST / TELEGRAPH AVE_
10/30/2015,2300 WARRING ST
10/30/2015,2500 COLLEGE AVE
10/30/2015,2600 REGENT ST
10/30/2015,2600 REGENT ST
10/30/2015,2900 TELEGRAPH AVE
10/30/2015,2400 PIEDMONT AVE
10/30/2015,2400 TELEGRAPH AVE
10/30/2015,2400 SPAULDING AVE
10/30/2015,1400 ALCATRAZ AVE
10/30/2015,1400 OREGON ST
10/30/2015,1500 FAIRVIEW ST
10/30/2015,2800 REGENT ST
10/30/2015,2400 BLAKE ST
10/30/2015,2600 BENVENUE AVE
10/30/2015,2200 DWIGHT WAY
10/30/2015,1600 HEARST AVE
10/30/2015,BLAKE ST/ ELLSWORTH ST
10/30/2015,2300 COLLEGE AVE
10/30/2015,BERKELEY WAY/ M L KING JR WAY
10/30/2015,2500 COLLEGE AVE
10/30/2015,2700 DWIGHT WAY
10/30/2015,100 DEL MAR AVE
10/30/2015,2300 COLLEGE AVE
10/30/2015,2300 LE CONTE AVE
10/30/2015,2300 COLLEGE AVE
10/30/2015,2400 PIEDMONT AVE
10/30/2015,2300 PROSPECT ST
10/31/2015,2500 WARRING ST
10/31/2015,2200 DWIGHT WAY
10/31/2015,0 THE PLAZA DR
10/31/2015,2500 WARRING ST
10/31/2015,0 CANYON RD
10/31/2015,1700 SPRUCE ST
10/31/2015,2400 WARRING ST
10/31/2015,BLAKE ST / ELLSWORTH ST
10/31/2015,2500 DLIRANT AVE
10/31/2015,1500 OXFORD ST
10/31/2015,1600 GRANT ST
10/31/2015,1800 BERKELEY WAY
10/31/2015,2300 DURANT AVE
10/31/2015,2400 PROSPECT ST
10/31/2015,2300 WARRING ST
10/31/2015,2720 BANCROFT WAY
10/31/2015,CHANNING WAY / PIEDMONT AVE
10/31/2015,CHANNING WAY/ PIEDMONT AVE
10/31/2015,2700 CHANNING WAY '
10/31/2015,2700 BANCROFT WAY
10/31/2015,1600 BONITA AVE
10/31/2015,2300 CHANNING WAY
10/31/2015,2100 HASTE ST
10/31/2015,PRINCE ST/ CALIFORNIA ST
10/31/2015,2300 CHANNING WAY
10/31/2015,SEVENTH ST / ALLSTON WAY
10/31/2015,900 INDIAN ROCK AVE
10/31/2015,2400 STUART ST
10/31/2015,0 PANORAMIC WAY
10/31/2015,2800 STUART ST
10/31/2015,2900 OT|S ST
10/31/2015,2600 REGENT ST
10/31/2015,SEVENTH ST/ BANCROFT WAY
10/31/2015,2400 STUART ST I
10/31/2015,2000 DLIRANT AVE
10/31/2015,2600 ELLSWORTH ST
10/31/2015,2300 CHANNING WAY
10/31/2015,BERKELEY WAY
10/31/2015,ALCATRAZ AVE / ELLIS ST
10/31/2015,2300 ROOSEVELT AVE
10/31/2015,1600 BERKELEY WAY
10/31/2015,2600 WARRING ST
10/31/2015,2500 BENVENUE AVE
11/10/2015,1900 CURTIS ST '
11/10/2015,KITTREDGE ST/ SHA'I'I'UCK AVE
11/10/2015,2400 MILVIA ST
11/10/2015,TELEGRAPH AVE / BLAKE ST
11/11/2015,1700 UNIVERSITY AVE
11/11/2015,2300 WARRING ST
11/11/2015,2600 DURANT AVE
11/11/2015,2400 MILVIA ST
11/11/2015,DELAWARE ST/ FRANKLIN ST
11/11/2015,1900 CHANNING WAY
11/11/2015,1800 SHA'I'I'UCK AVE
11/12/2015,HARRISON ST / SIXTH ST-
11/12/2015,TELEGRAPH AVE / DURANT AVE
11/13/2015,2500 COLLEGE AVE
11/13/2015,2400 WARRING ST
11/13/2015,2400 SAN PABLO AVE
11/13/2015,DELAWARE ST/ FRANKLIN ST
11/13/2015,1300 ROSE ST
11/13/2015,1300 ROSE ST
11/13/2015,2000 HEARST AVE
11/13/2015,1500 SHA'I'I'UCK AVE
11/13/2015,2700 HASTE ST ‘
11/14/2015,2700 ELMWOOD AVE
11/14/2015,2700 ASHBY AVE
11/14/2015,2400 WARRING ST
11/14/2015,2300 PIEDMONT AVE
11/14/2015,2500 DWIGHT WAY
11/14/2015,2400 WARRING ST
11/14/2015,'2700 CHANNING WAY
11/14/2015,1900 SIXTH ST
11/14/2015,DOHR ST/ RUSSELL ST
11/14/2015,1800 CHANNING WAY
11/14/2015,2700 CHANNING WAY
11/14/2015,2400 WARRING ST
11/14/2015,HARMON ST/ KING ST
11/14/2015,MABEL ST/ CARRISON ST
11/14/2015,PROSPECT ST/ HILLSIDE AVE
11/14/2015,FULTON ST/ WARD ST
11/14/2015,2000 HEARST AVE
11/14/2015,1600 HEARST AVE
11/14/2015,2300 LE CONTE AVE
11/15/2015,2400 FULTON ST
11/15/2015,PARKSIDE DR/ ENCINA PL
11/15/2015,2700 BENVENUE AVE
11/15/2015,CARRISON ST/ MABEL ST
11/15/2015,2000 CHANNING WAY
11/15/2015,1300 ADDISON ST
11/15/2015,2900 SHA'ITUCK AVE
11/15/2015,1600 WARD ST
11/16/2015,2400 PROSPECT ST
11/16/2015,TELEGRAPH AVE / DURANT AVE
11/17/2015,2300 WARRING ST
11/17/2015,HARIVION ST/ ELLIS ST
11/17/2015,1700 HARMON ST
11/17/2015,1900 MONTEREY AVE
11/17/2015,2600 DANA ST
11/17/2015,2300 WARRING ST
11/17/2015,2300 WARRING ST
11/18/2015,2300 WARRING ST
11/18/2015,2800 FOREST AVE
11/18/2015,1900 MCGEE AVE
11/18/2015,1600 LA LOMA AVE
11/18/2015,DURANT AVE / TELEGRAPH AVE
11/18/2015,1900 CHESTNUT ST 7
11/18/2015,2300 COLLEGE AVE
11/19/2015,2300'TENTIIST
11/19/2015,TELEGRAPH AVE / DURANT AVE
11/20/2015,2300 FULTON ST
11/19/2015,2000 HEARST AVE
11/19/2015,2300 PIEDMONT AVE
11/20/2015,2100 GRANT ST
11/20/2015,1300 BURNETT ST
11/20/2015,HASTE ST / ATHERTON ST
11/20/2015,2800 HILGARD AVE
11/20/2015,2500 VIRGINIA ST
11/20/2015,2400 FULTON ST
11/20/2015,1800 WALNUT ST
11/21/2015,2400 RIDGE RD
11/21/2015,2400 PROSPECT ST
11/21/2015,2700 CHANNING WAY
11/21/2015,2400 CARLETON ST
11/21/2015,CHANNING WAY / COLLEGE AVE
11/21/2015,PARKER ST / FULTON ST
11/21/2015,2000 KITTREDGE ST
11/21/2015,2500 DURANT AVE
11/21/2015,1300 DELAWARE ST
11/21/2015,1200 ASHBY AVE
11/21/201521,2600I4ASTEST
11/21/2015,1600 STANNAGE AVE
11/21/2015,ALCATRAZ AVE / IDAHO ST
11/21/2015,2200 BLAKE ST
11/22/2015,2500 HASTE ST
11/21/2015,1100 CHAUCER ST
11/21/2015,1300 SIXTY-SIXTH ST
11/22/2015,2400 FULTON ST
11/22/2015,2600 BENVENUE AVE
11/22/2015,1400 OREGON ST
11/22/2015,2300 PROSPECT ST
11/22/2015,2200 MILVIA ST
11/22/2015,2000 KITTREDGE ST
11/22/2015,1900 FRANCISCO ST
11/23/2015,1700 SAN PABLO AVE
11/23/2015,2300 FULTON ST
11/23/2015,1900 MILVIA ST
11/24/2015,2300 CHANNING WAY
11/24/201521,2300VVEBSTERST
11/24/2015,UNIVERSITY AVE / MCGEE AVE
11/24/2015,2000 HEARST AVE
11/25/2015(153,
11/25/2015,900 UNIVERSITY AVE
11/25/2015,1700 UNIVERSITY AVE
11/25/2015,2200 ASHBY AVE
11/25/2015,2300 SPAULDING AVE
11/26/2015,1300 UNIVERSITY AVE
11/26/2015,1900 UNIVERSITY AVE
11/26/2015,FAIRVIEW ST/ ELLIS ST
11/26/2015,3100 KING ST
11/27/20151,2300ELLSVVORTFIST
11/27/2015,'2300 RUSSELL ST
11/27/2015,VIRGINIA ST / EUCLID AVE
11/27/2015,900 SPRUCE ST
11/27/2015,1900 CHESTNUT ST
11/27/2015,1900 CHESTNUT ST
11/28/2015,1600 PRINCE ST
11/28/2015,2200 BLAKE ST
11/28/2015,1900 CHESTNUT ST
11/28/2015,2200 BLAKE ST
11/28/2015,1600 BONITA AVE
11/29/2015,1100 HOPKINS ST
11/29/2015,FOURTH ST/ ADDISON ST
11/29/2015,1800 UNIVERSITY AVE
11/29/2015,2500 PIEDMONT AVE
11/29/2015,1200 ASHBY AVE
11/29/2015,2400 STUART ST
11/30/2015,1900 MCGEE AVE
12/10/2015,1200 FRANCISCO ST
12/10/2015,.2500 DURANT AVE
12/10/2015,UNIVERSITY AVE / CALIFORNIA ST
12/10/2015,800 HEARST AVE
